"","gene_name","count_BHI_1","count_BHI_2","count_BHI_3","count_ser_1","count_ser_2","count_ser_3"
"NBCAEPAK_00321","gmuE_1",60,61,49,23,0,29
"NBCAEPAK_00322","",30,21,21,12,0,9
"NBCAEPAK_00323","",0,0,0,2,0,1
"NBCAEPAK_00324","manZ_1",0,0,2,0,0,2
"NBCAEPAK_00325","agaC",4,8,2,2,0,2
"NBCAEPAK_00326","sorB_1",4,4,2,0,0,3
"NBCAEPAK_00327","dgaR_1",57,49,66,33,0,50
"NBCAEPAK_00328","",10,5,17,8,0,7
"NBCAEPAK_00329","",4,1,7,0,0,0
"NBCAEPAK_00330","",23,16,27,14,0,27
"NBCAEPAK_00331","",94,118,78,61,0,47
"NBCAEPAK_00332","pinR",3,10,12,4,0,2
"NBCAEPAK_00333","",9,20,12,0,0,0
"NBCAEPAK_00334","",1,2,5,2,0,0
"NBCAEPAK_00335","",64,93,87,14,0,20
"NBCAEPAK_00336","",23,16,23,20,0,37
"NBCAEPAK_00337","",10,22,16,10,0,19
"NBCAEPAK_00338","",2,0,4,0,0,0
"NBCAEPAK_00339","",2,0,1,1,0,0
"NBCAEPAK_00340","",0,2,0,0,0,0
"NBCAEPAK_00341","",5,4,2,10,0,13
"NBCAEPAK_00342","",2,2,2,0,0,2
"NBCAEPAK_00343","",0,0,0,0,0,0
"NBCAEPAK_00344","",26,34,24,21,0,38
"NBCAEPAK_00345","",106,122,132,152,0,169
"NBCAEPAK_00346","",0,1,0,0,0,1
"NBCAEPAK_00347","ymfD",232,292,245,190,0,184
"NBCAEPAK_00348","agaSK_1",125,120,115,105,0,129
"NBCAEPAK_00349","melR",10,12,15,19,0,30
"NBCAEPAK_00350","",0,0,1,1,0,0
"NBCAEPAK_00351","",51,56,50,16,0,28
"NBCAEPAK_00352","",4,11,8,0,0,2
"NBCAEPAK_00353","",17,23,16,3,0,7
"NBCAEPAK_00354","rlmH",89,58,69,77,0,72
"NBCAEPAK_00355","htrA",115,168,196,82,0,102
"NBCAEPAK_00356","pheT_1",162,255,247,32,0,72
"NBCAEPAK_00357","",44,68,70,77,0,141
"NBCAEPAK_00358","ytpP",22,24,30,19,0,40
"NBCAEPAK_00359","pepA",31,41,39,37,0,67
"NBCAEPAK_00360","",10,8,7,5,0,22
"NBCAEPAK_00361","ppm1",89,62,80,17,0,50
"NBCAEPAK_00362","",25,17,20,2,0,1
"NBCAEPAK_00363","",11,25,30,55,0,36
"NBCAEPAK_00364","pepV",275,251,269,188,0,347
"NBCAEPAK_00365","nnrD",69,65,84,30,0,41
"NBCAEPAK_00366","",16,12,17,5,0,18
"NBCAEPAK_00367","",4,0,2,15,0,25
"NBCAEPAK_00368","rspR_1",32,19,29,9,0,15
"NBCAEPAK_00369","",7,10,12,8,0,9
"NBCAEPAK_00370","apc1",130,132,122,50,0,53
"NBCAEPAK_00371","",97,96,104,65,0,81
"NBCAEPAK_00372","rplT",83,89,86,16,0,33
"NBCAEPAK_00373","rpmI",62,80,97,11,0,30
"NBCAEPAK_00374","infC",303,340,372,50,0,112
"NBCAEPAK_00375","mfpA",1214,1326,1068,436,0,510
"NBCAEPAK_00376","corA_1",228,248,252,617,0,727
"NBCAEPAK_00377","",111,117,97,81,0,89
"NBCAEPAK_00378","galK_2",75,62,83,18,0,29
"NBCAEPAK_00379","thrB",93,115,126,34,0,34
"NBCAEPAK_00380","",60,73,76,12,0,12
"NBCAEPAK_00381","fni",98,107,116,18,0,41
"NBCAEPAK_00382","gno",843,886,898,252,0,227
"NBCAEPAK_00383","hdhA",31,36,25,6,0,7
"NBCAEPAK_00384","kduI1",118,150,146,30,0,42
"NBCAEPAK_00385","kdgK",173,151,168,45,0,40
"NBCAEPAK_00386","kdgA",126,104,91,52,0,71
"NBCAEPAK_00387","iclR",22,18,16,5,0,11
"NBCAEPAK_00388","fucO",15,22,15,9,0,6
"NBCAEPAK_00389","rhaM",2,0,0,0,0,4
"NBCAEPAK_00390","rhaD",4,0,1,0,0,4
"NBCAEPAK_00391","rhaA",0,0,0,1,0,2
"NBCAEPAK_00392","rhaB",10,6,5,0,0,3
"NBCAEPAK_00393","",25,15,21,35,0,25
"NBCAEPAK_00394","",287,498,319,491,0,597
"NBCAEPAK_00395","adhE",65,65,71,676,0,1618
"NBCAEPAK_00396","",0,0,0,0,0,1
"NBCAEPAK_00397","",145,150,151,61,0,117
"NBCAEPAK_00398","tgt",56,62,105,74,0,77
"NBCAEPAK_00399","",177,195,276,184,0,375
"NBCAEPAK_00400","",250,297,264,143,0,226
"NBCAEPAK_00401","yoaB",2,2,4,2,0,6
"NBCAEPAK_00402","queA",106,121,134,50,0,88
"NBCAEPAK_00403","opuCA_1",23,40,38,27,0,69
"NBCAEPAK_00404","opuCB",40,67,73,32,0,45
"NBCAEPAK_00405","opuCC",55,58,71,40,0,40
"NBCAEPAK_00406","opuCD",70,72,46,26,0,22
"NBCAEPAK_00407","",2,1,8,0,0,0
"NBCAEPAK_00408","",2,1,1,1,0,4
"NBCAEPAK_00409","",3,9,5,7,0,8
"NBCAEPAK_00410","",1,5,4,2,0,3
"NBCAEPAK_00411","",86,70,101,20,0,39
"NBCAEPAK_00412","smc_1",294,279,327,111,0,191
"NBCAEPAK_00413","",24,13,19,30,0,55
"NBCAEPAK_00414","rpsN2_1",17,19,19,14,0,15
"NBCAEPAK_00415","ndoA",30,13,28,21,0,15
"NBCAEPAK_00416","alr",48,93,113,61,0,134
"NBCAEPAK_00417","acpS",16,4,2,2,0,2
"NBCAEPAK_00418","cshA",245,331,412,56,0,75
"NBCAEPAK_00419","murF_1",83,90,120,26,0,39
"NBCAEPAK_00420","ddl_1",112,79,106,11,0,40
"NBCAEPAK_00421","ubiB",459,450,394,97,0,115
"NBCAEPAK_00422","",26,32,40,7,0,10
"NBCAEPAK_00423","",65,70,50,34,0,59
"NBCAEPAK_00424","",42,31,40,13,0,21
"NBCAEPAK_00425","ydjZ",27,31,25,13,0,14
"NBCAEPAK_00426","",10,9,5,0,0,2
"NBCAEPAK_00427","",0,2,4,2,0,4
"NBCAEPAK_00428","udk",82,61,95,20,0,40
"NBCAEPAK_00429","yfnB_1",6,16,8,3,0,7
"NBCAEPAK_00430","rsuA",26,28,34,9,0,29
"NBCAEPAK_00431","ctc",52,74,79,131,0,185
"NBCAEPAK_00432","",9,18,25,27,0,23
"NBCAEPAK_00433","dinF",42,43,71,43,0,92
"NBCAEPAK_00434","corC_1",76,106,116,45,0,46
"NBCAEPAK_00435","kup",309,311,329,158,0,246
"NBCAEPAK_00436","",12,22,5,2,0,6
"NBCAEPAK_00437","pnp",360,446,646,206,0,438
"NBCAEPAK_00438","rpsO",175,119,162,28,0,46
"NBCAEPAK_00439","def_1",123,146,130,43,0,59
"NBCAEPAK_00440","nadR",156,153,184,53,0,75
"NBCAEPAK_00441","maa",42,60,60,28,0,24
"NBCAEPAK_00442","cobB",24,39,39,15,0,27
"NBCAEPAK_00443","",28,54,55,18,0,28
"NBCAEPAK_00444","",18,18,28,17,0,27
"NBCAEPAK_00445","glnP_1",388,495,504,307,0,395
"NBCAEPAK_00446","artM_2",291,336,305,229,0,301
"NBCAEPAK_00447","cycA",159,179,159,140,0,164
"NBCAEPAK_00448","",1504,1765,1625,3075,0,3150
"NBCAEPAK_00449","brnQ_1",112,144,128,146,0,195
"NBCAEPAK_00450","",29,40,57,26,0,22
"NBCAEPAK_00451","",24,21,45,51,0,75
"NBCAEPAK_00452","yfkJ",63,88,90,39,0,32
"NBCAEPAK_00453","dhaS",26,32,77,17,0,23
"NBCAEPAK_00454","ruvB",263,341,325,113,0,153
"NBCAEPAK_00455","ruvA",70,62,65,33,0,36
"NBCAEPAK_00456","msrB",9,24,23,14,0,16
"NBCAEPAK_00457","treR",9,22,25,8,0,3
"NBCAEPAK_00458","treB",126,105,94,4,0,23
"NBCAEPAK_00459","maf",83,85,100,16,0,39
"NBCAEPAK_00460","mutL",117,100,152,28,0,69
"NBCAEPAK_00461","mutS_1",200,288,235,62,0,113
"NBCAEPAK_00462","",5,11,4,1,0,3
"NBCAEPAK_00463","",26,7,28,8,0,5
"NBCAEPAK_00464","",40,47,50,11,0,24
"NBCAEPAK_00465","",20,23,20,6,0,8
"NBCAEPAK_00466","nirC",6,5,4,0,0,5
"NBCAEPAK_00467","rpsD",588,729,1165,39,0,140
"NBCAEPAK_00468","bioY2",32,31,50,129,0,272
"NBCAEPAK_00469","queT_1",138,149,131,3378,0,3548
"NBCAEPAK_00470","bacC",61,79,89,425,0,525
"NBCAEPAK_00471","",3,2,3,24,0,20
"NBCAEPAK_00472","",44,82,91,73,0,54
"NBCAEPAK_00473","yohK",19,18,13,9,0,6
"NBCAEPAK_00474","lrgA",14,21,5,6,0,3
"NBCAEPAK_00475","gla",243,244,349,35,0,42
"NBCAEPAK_00476","",6,3,4,0,0,2
"NBCAEPAK_00477","",144,202,164,24,0,40
"NBCAEPAK_00478","",29,35,29,8,0,12
"NBCAEPAK_00479","",20,16,24,2,0,3
"NBCAEPAK_00480","cpdA_2",35,32,48,40,0,64
"NBCAEPAK_00481","",26,20,35,28,0,41
"NBCAEPAK_00482","",8,10,8,0,0,3
"NBCAEPAK_00483","",3,2,2,2,0,2
"NBCAEPAK_00484","",9,4,4,0,0,4
"NBCAEPAK_00485","",2,0,2,4,0,3
"NBCAEPAK_00486","yclQ",41,29,41,177,0,436
"NBCAEPAK_00487","fhuC",7,8,3,35,0,69
"NBCAEPAK_00488","hmuU",29,46,34,42,0,111
"NBCAEPAK_00489","feuB_1",13,25,29,97,0,244
"NBCAEPAK_00490","",26,30,23,24,0,31
