##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	E745-1.L500_SZAXPI015146-56_2_clean.fq.gz
File type	Conventional base calls
Encoding	Illumina 1.5
1104	62-63	0.35328661898237357
1104	64-65	0.4031985565893663
1104	66-67	0.5585138954587165
1104	68-69	0.5463655658237769
1104	70-71	0.568791783600652
1104	72-73	0.7572893140595127
1104	74-75	0.6225157229761145
1104	76-77	0.5985769338655942
1104	78-79	0.7230793894779808
1104	80-81	0.7662308301229785
1104	82-83	0.7921022850251198
1104	84-85	0.9892028582735861
1104	86-87	0.8032291745246596
1104	88-89	0.9048251564048861
1104	90	0.9999559600111638
1105	1	0.24893907466634957
1105	2	0.1404097608769419
1105	3	0.21591075262863768
1105	4	0.1863734004206492
1105	5	0.22830141834607787
1105	6	0.23604369110307744
1105	7	0.23455032001964327
1105	8	0.24411240845197568
1105	9	0.29852961221262575
1105	10-11	0.24212486025512447
1105	12-13	0.34344245800097184
1105	14-15	0.40403720154589706
1105	16-17	0.31667857655774867
1105	18-19	0.5181909873523338
1105	20-21	0.4229156201861528
1105	22-23	0.45408765989586897
1105	24-25	0.3918667572340482
1105	26-27	0.3660883948944331
1105	28-29	0.3327897284503294
1105	30-31	0.4656992852002517
1105	32-33	0.43711495944736356
1105	34-35	0.3767549734065412
1105	36-37	0.45403432355082884
1105	38-39	0.3734770442556652
1105	40-41	0.5002201251341987
1105	42-43	0.47852668582221725
1105	44-45	0.43905982196459803
1105	46-47	0.4920338494258516
1105	48-49	0.46565856154741425
1105	50-51	0.4612883941910084
1105	52-53	0.44177559086388385
1105	54-55	0.5159461811886104
1105	56-57	0.3962252806729012
1105	58-59	0.38089642990102135
1105	60-61	0.44621047360605814
1105	62-63	0.4787854462473504
1105	64-65	0.6566530541019091
1105	66-67	0.8780016720932622
1105	68-69	0.8271877987407521
1105	70-71	0.7310159327223928
1105	72-73	0.822873459640924
1105	74-75	0.7411767306431507
1105	76-77	0.6236292551802336
1105	78-79	0.8476179477514805
1105	80-81	1.0516291728050007
1105	82-83	1.085958287547605
1105	84-85	1.2040410909102839
1105	86-87	1.263344428930715
1105	88-89	1.1653531729706899
1105	90	1.3837794080733836
1106	1	0.27919970976654085
1106	2	0.27809967020424153
1106	3	0.18449180847292013
1106	4	0.19628185621014893
1106	5	0.14497155327018874
1106	6	0.31818358815808523
1106	7	0.2179852110452174
1106	8	0.20349199944660512
1106	9	0.22457729274876215
1106	10-11	0.34184250852758424
1106	12-13	0.3745930568534206
1106	14-15	0.44823080501202384
1106	16-17	0.5780417884842848
1106	18-19	0.2186101573894348
1106	20-21	0.5126665192651956
1106	22-23	0.4674598821773728
1106	24-25	0.3278646460434871
1106	26-27	0.4469619333351744
1106	28-29	0.45182565959741794
1106	30-31	0.38313061370292445
1106	32-33	0.3061468887589385
1106	34-35	0.592911628370068
1106	36-37	0.5324859956066348
1106	38-39	0.5819387475791515
1106	40-41	0.5962114865052754
1106	42-43	0.3874514904437163
1106	44-45	0.4222631401087398
1106	46-47	0.29308086298940594
1106	48-49	0.35753025558663865
1106	50-51	0.4872014796595394
1106	52-53	0.5182883291509626
1106	54-55	0.4108622938233921
1106	56-57	0.45567872776508267
1106	58-59	0.5304058493325101
1106	60-61	0.582474617871334
1106	62-63	0.6206002252926694
1106	64-65	0.7148522814808658
1106	66-67	0.7611334018466422
1106	68-69	0.7818139650534732
1106	70-71	0.8453408586439721
1106	72-73	0.8598775877565785
1106	74-75	0.8543513511802097
1106	76-77	1.0673022198467024
1106	78-79	0.9917462768339753
1106	80-81	1.08107058771175
1106	82-83	1.0980374723114608
1106	84-85	1.068557615823046
1106	86-87	1.0611794803854266
1106	88-89	1.4189182303659038
1106	90	1.8514038473717633
1107	1	0.1348211007007052
1107	2	0.023681404518335114
1107	3	0.09967294510047964
1107	4	0.10231873112252288
1107	5	-0.052327246520363246
1107	6	0.10549250943969923
1107	7	0.050963934263734245
1107	8	-0.028626685119235162
1107	9	0.1532983025861867
1107	10-11	0.029246795660860414
1107	12-13	0.15475669781059764
1107	14-15	0.18000387130002338
1107	16-17	0.17963261031547972
1107	18-19	0.1805422552269036
1107	20-21	0.22643932470262484
1107	22-23	0.18317619024433895
1107	24-25	0.22887674277051673
1107	26-27	0.3633079056993296
1107	28-29	0.3228505037811047
1107	30-31	0.28624649473621133
1107	32-33	0.24151618350385462
1107	34-35	0.16443514411896132
1107	36-37	0.21049027746703075
1107	38-39	0.28895453672109284
1107	40-41	0.36716766099021214
1107	42-43	0.26887530679932325
1107	44-45	0.26471406519416263
1107	46-47	0.18580802952887865
1107	48-49	0.4591853297675428
1107	50-51	0.10635663284639918
1107	52-53	0.21429479244847016
1107	54-55	0.27678501256378496
1107	56-57	0.20576951912879338
1107	58-59	0.24061505009438378
1107	60-61	0.3867943050881024
1107	62-63	0.4405993191250275
1107	64-65	0.34247434042995195
1107	66-67	0.43884557995415463
1107	68-69	0.67700406558221
1107	70-71	0.5127469074789062
1107	72-73	0.5503448175741354
1107	74-75	0.4679810205407655
1107	76-77	0.47957275122236
1107	78-79	0.2870937694296778
1107	80-81	0.49088626029155336
1107	82-83	0.5741488677275797
1107	84-85	0.5668851341441297
1107	86-87	0.7399725558677943
1107	88-89	0.8773188060529868
1107	90	1.0561066828733523
1108	1	-0.07378901305658658
1108	2	0.034604075339345286
1108	3	0.11179241174247778
1108	4	0.04900035996586638
1108	5	0.04987856439745997
1108	6	0.05047708853874866
1108	7	0.12458797281934864
1108	8	-0.030180854474252783
1108	9	0.13018696821966813
1108	10-11	0.08464659586989143
1108	12-13	0.12653134989771075
1108	14-15	0.2000977202474914
1108	16-17	0.19340762581576598
1108	18-19	0.3146023257318191
1108	20-21	0.16911909472041486
1108	22-23	0.17684989354010838
1108	24-25	0.22856984328704044
1108	26-27	0.09237873278523523
1108	28-29	0.1711287864623614
1108	30-31	0.09258399064004408
1108	32-33	0.1346115404606465
1108	34-35	0.29085728284857026
1108	36-37	0.2825344782402084
1108	38-39	0.4215888231483049
1108	40-41	0.26647986792795564
1108	42-43	0.21884840456177557
1108	44-45	0.25948163175994665
1108	46-47	0.1742812662890998
1108	48-49	0.23836489607724332
1108	50-51	-0.05010865299979628
1108	52-53	0.09265340911090902
1108	54-55	0.20677560627149916
1108	56-57	0.45802583860935187
1108	58-59	0.384091248861715
1108	60-61	0.25123053927872263
1108	62-63	0.011351470484363801
1108	64-65	0.22376899378711812
1108	66-67	0.30981134439788605
1108	68-69	0.4649877730763734
1108	70-71	0.5286387701473814
1108	72-73	0.5665360733288267
1108	74-75	0.5404136989423698
1108	76-77	0.6017663293010571
1108	78-79	0.7676663936506287
1108	80-81	0.6375418928418455
1108	82-83	0.652116867006967
1108	84-85	0.9508892949315069
1108	86-87	0.7120620452377864
1108	88-89	0.7540550918220497
1108	90	0.8687835038261049
1109	1	0.08741171522859759
1109	2	0.09913772830219614
1109	3	0.04914228988879188
1109	4	-0.06945616785244368
1109	5	9.468612287193423E-4
1109	6	-0.039098544506025235
1109	7	0.06282034456226171
1109	8	0.05966977681431729
1109	9	0.10018623871864918
1109	10-11	0.16563940454339132
1109	12-13	-1.1336250326365871E-4
1109	14-15	-0.005883732189040813
1109	16-17	0.022339762970062793
1109	18-19	0.1742206616048989
1109	20-21	0.31567031953911595
1109	22-23	0.20761461493825095
1109	24-25	0.14989121618094714
1109	26-27	0.1535786336271343
1109	28-29	0.13740924819597922
1109	30-31	0.04578595130913499
1109	32-33	-0.0697737063268491
1109	34-35	0.1941509461865465
1109	36-37	0.24835849523758213
1109	38-39	0.1517714719665122
1109	40-41	0.2973809908191569
1109	42-43	0.2864503945460015
1109	44-45	0.2929713012149264
1109	46-47	0.25664995272794755
1109	48-49	0.1568343759159987
1109	50-51	-0.020368441485032918
1109	52-53	0.08228275842301258
1109	54-55	0.054062884111409915
1109	56-57	0.18680217156982337
1109	58-59	0.3975355558492524
1109	60-61	0.46789512889387197
1109	62-63	0.5149087589425747
1109	64-65	0.5253193860965553
1109	66-67	0.7150652039986625
1109	68-69	0.7296281155635995
1109	70-71	0.672971602624223
1109	72-73	0.7656326910108504
1109	74-75	0.8229050327404259
1109	76-77	0.9612185010526133
1109	78-79	1.0686444147305068
1109	80-81	1.2614660899178958
1109	82-83	1.235311603589551
1109	84-85	1.2401020012181831
1109	86-87	1.200485353741069
1109	88-89	1.275026937473143
1109	90	1.6960193400234083
1110	1	-0.09912668765085542
1110	2	-0.19707502453116277
1110	3	-0.1500319346651935
1110	4	-0.08014964637855115
1110	5	-0.13652729621935578
1110	6	-0.37598950757744376
1110	7	-0.41555816663561274
1110	8	-0.3070959388464374
1110	9	-0.19686720198413354
1110	10-11	-0.06556225717505981
1110	12-13	-0.07816689301950674
1110	14-15	-0.20506244741597612
1110	16-17	-0.2311086925773651
1110	18-19	-0.4483662371533015
1110	20-21	-0.13494282677886815
1110	22-23	-0.3512500158436964
1110	24-25	-0.1397044029557648
1110	26-27	-0.10913166543473096
1110	28-29	-0.04012565195856865
1110	30-31	-0.0014352117921063723
1110	32-33	0.04431785595285476
1110	34-35	-0.17622399958645474
1110	36-37	-0.08439795608013867
1110	38-39	-0.0962496663936605
1110	40-41	-0.07298124550208485
1110	42-43	-0.3022006157706798
1110	44-45	-0.13980027435038522
1110	46-47	-0.2212202651289985
1110	48-49	-0.2185065763100198
1110	50-51	-0.20992978746680535
1110	52-53	0.009794739199548985
1110	54-55	0.0819944886203885
1110	56-57	-0.23604001770949878
1110	58-59	-0.2240580145238269
1110	60-61	-0.17619929724895655
1110	62-63	0.048176553869645034
1110	64-65	-0.09626329651285204
1110	66-67	0.28531305525401507
1110	68-69	0.3876750625838241
1110	70-71	0.2427825452927337
1110	72-73	-0.08269838851303746
1110	74-75	0.28118735880734036
1110	76-77	0.35304920437673104
1110	78-79	0.45530550618433097
1110	80-81	0.41059299294647644
1110	82-83	0.3868899056745789
1110	84-85	0.5018740038210794
1110	86-87	0.48542609380397295
1110	88-89	0.7706780596330063
1110	90	0.8773751673917722
1111	1	-0.3334368417539828
1111	2	-0.42517756628822667
1111	3	-0.23623449799297802
1111	4	-0.09896467464311343
1111	5	-0.030995379118358812
1111	6	-0.24101334127799845
1111	7	-0.23374198116027145
1111	8	-0.1522800702315763
1111	9	-0.14861432224975601
1111	10-11	-0.34888675040362926
1111	12-13	-0.3239602351453925
1111	14-15	-0.6025515982947383
1111	16-17	-0.4380491474472237
1111	18-19	-0.2034447584653023
1111	20-21	-0.34103882469700864
1111	22-23	-0.1367621432138293
1111	24-25	-0.06407512366421741
1111	26-27	-0.4640212376125703
1111	28-29	-0.11342382372114912
1111	30-31	-0.19437160064605763
1111	32-33	-0.25659299904737765
1111	34-35	-0.30744266746696525
1111	36-37	-0.033206357508206
1111	38-39	-0.06479877825492508
1111	40-41	-0.1579957765593818
1111	42-43	-0.0712139952368318
1111	44-45	-0.16409647016583762
1111	46-47	-0.09310159936666906
1111	48-49	-0.18203277954770414
1111	50-51	-0.3387506904024633
1111	52-53	-0.2601291494436708
1111	54-55	-0.13091509029235482
1111	56-57	-0.12949989638608628
1111	58-59	-0.4428743396252699
1111	60-61	-0.26296382322698264
1111	62-63	0.10849511752768848
1111	64-65	0.03327566500610857
1111	66-67	0.2525712524519008
1111	68-69	0.4273705047641272
1111	70-71	0.31493046596609275
1111	72-73	0.2872469411666714
1111	74-75	0.04596634970397773
1111	76-77	0.1332898194924006
1111	78-79	0.42546343065741965
1111	80-81	0.3636215177383235
1111	82-83	0.21953141975757973
1111	84-85	0.26120597720479566
1111	86-87	0.24585618543414256
1111	88-89	0.4413569667107531
1111	90	0.5774150667399383
1112	1	-0.3745368414647814
1112	2	-0.4266771978216113
1112	3	-0.3776591637242177
1112	4	-0.27371512822644206
1112	5	-0.42141382732047106
1112	6	-0.36117420988645677
1112	7	-0.23488431969683177
1112	8	-0.4092391992253894
1112	9	-0.33245326855353596
1112	10-11	-0.2731219685561044
1112	12-13	-0.23400048384656458
1112	14-15	-0.2431365334653819
1112	16-17	-0.42356445254888797
1112	18-19	-0.4669892259317905
1112	20-21	-0.28872063990318253
1112	22-23	-0.3743955069657048
1112	24-25	-0.3266908659568415
1112	26-27	-0.370819164103807
1112	28-29	-0.2951610774446607
1112	30-31	-0.19341540150739434
1112	32-33	-0.444429472957232
1112	34-35	-0.2744635248071532
1112	36-37	-0.11781446966298148
1112	38-39	-0.21747988229290627
1112	40-41	-0.14717064006372738
1112	42-43	-0.3558814721882797
1112	44-45	-0.31828049209664044
1112	46-47	-0.18972358994874838
1112	48-49	-0.32009786576468713
1112	50-51	-0.4221966144097351
1112	52-53	-0.3385778353074045
1112	54-55	-0.31398713176042037
1112	56-57	-0.29659037196436344
1112	58-59	-0.14898297194500998
1112	60-61	-0.015342818815632597
1112	62-63	0.0766266328995755
1112	64-65	0.019757028324711712
1112	66-67	0.12589484764497882
1112	68-69	0.19823382612722895
1112	70-71	-0.1779888754685146
1112	72-73	-0.07197856645097289
1112	74-75	0.005661517519950365
1112	76-77	0.015083808925048459
1112	78-79	0.10445473389873783
1112	80-81	0.25922071439433125
1112	82-83	0.15729881439229487
1112	84-85	0.250076523826273
1112	86-87	0.16620810983420853
1112	88-89	0.16398165841737367
1112	90	0.39479890905147386
1113	1	-0.735049416612199
1113	2	-0.6704003452190825
1113	3	-0.575073782526907
1113	4	-0.4494483942206031
1113	5	-0.27853817884867027
