"","count_BHI_1","count_BHI_2","count_BHI_3","count_ser_1","count_ser_2","count_ser_3"
"NBCAEPAK_00304",77,83,101,14,0,39
"NBCAEPAK_00305",1,0,5,2,0,4
"NBCAEPAK_00306",1,2,0,0,0,2
"NBCAEPAK_00307",13,21,20,1,0,7
"NBCAEPAK_00308",14,14,6,2,0,2
"NBCAEPAK_00309",14,18,18,0,0,6
"NBCAEPAK_00310",9,8,2,4,0,0
"NBCAEPAK_00311",10,5,8,10,0,9
"NBCAEPAK_00312",0,0,2,0,0,2
"NBCAEPAK_00313",57,48,46,7,0,12
"NBCAEPAK_00314",16,6,10,7,0,11
"NBCAEPAK_00315",19,11,22,9,0,16
"NBCAEPAK_00316",146,141,128,401,0,482
"NBCAEPAK_00317",191,148,143,56,0,74
"NBCAEPAK_00318",261,222,192,74,0,58
"NBCAEPAK_00319",85,45,40,7,0,18
"NBCAEPAK_00320",6,6,5,0,0,0
"NBCAEPAK_00321",60,61,49,23,0,29
"NBCAEPAK_00322",30,21,21,12,0,9
"NBCAEPAK_00323",0,0,0,2,0,1
"NBCAEPAK_00324",0,0,2,0,0,2
"NBCAEPAK_00325",4,8,2,2,0,2
"NBCAEPAK_00326",4,4,2,0,0,3
"NBCAEPAK_00327",57,49,66,33,0,50
"NBCAEPAK_00328",10,5,17,8,0,7
"NBCAEPAK_00329",4,1,7,0,0,0
"NBCAEPAK_00330",23,16,27,14,0,27
"NBCAEPAK_00331",94,118,78,61,0,47
"NBCAEPAK_00332",3,10,12,4,0,2
"NBCAEPAK_00333",9,20,12,0,0,0
"NBCAEPAK_00334",1,2,5,2,0,0
"NBCAEPAK_00335",64,93,87,14,0,20
"NBCAEPAK_00336",23,16,23,20,0,37
"NBCAEPAK_00337",10,22,16,10,0,19
"NBCAEPAK_00338",2,0,4,0,0,0
"NBCAEPAK_00339",2,0,1,1,0,0
"NBCAEPAK_00340",0,2,0,0,0,0
"NBCAEPAK_00341",5,4,2,10,0,13
"NBCAEPAK_00342",2,2,2,0,0,2
"NBCAEPAK_00343",0,0,0,0,0,0
"NBCAEPAK_00344",26,34,24,21,0,38
"NBCAEPAK_00345",106,122,132,152,0,169
"NBCAEPAK_00346",0,1,0,0,0,1
"NBCAEPAK_00347",232,292,245,190,0,184
"NBCAEPAK_00348",125,120,115,105,0,129
"NBCAEPAK_00349",10,12,15,19,0,30
"NBCAEPAK_00350",0,0,1,1,0,0
"NBCAEPAK_00351",51,56,50,16,0,28
"NBCAEPAK_00352",4,11,8,0,0,2
"NBCAEPAK_00353",17,23,16,3,0,7
"NBCAEPAK_00354",89,58,69,77,0,72
"NBCAEPAK_00355",115,168,196,82,0,102
"NBCAEPAK_00356",162,255,247,32,0,72
"NBCAEPAK_00357",44,68,70,77,0,141
"NBCAEPAK_00358",22,24,30,19,0,40
"NBCAEPAK_00359",31,41,39,37,0,67
"NBCAEPAK_00360",10,8,7,5,0,22
"NBCAEPAK_00361",89,62,80,17,0,50
"NBCAEPAK_00362",25,17,20,2,0,1
"NBCAEPAK_00363",11,25,30,55,0,36
"NBCAEPAK_00364",275,251,269,188,0,347
"NBCAEPAK_00365",69,65,84,30,0,41
"NBCAEPAK_00366",16,12,17,5,0,18
"NBCAEPAK_00367",4,0,2,15,0,25
"NBCAEPAK_00368",32,19,29,9,0,15
"NBCAEPAK_00369",7,10,12,8,0,9
"NBCAEPAK_00370",130,132,122,50,0,53
"NBCAEPAK_00371",97,96,104,65,0,81
"NBCAEPAK_00372",83,89,86,16,0,33
"NBCAEPAK_00373",62,80,97,11,0,30
"NBCAEPAK_00374",303,340,372,50,0,112
"NBCAEPAK_00375",1214,1326,1068,436,0,510
"NBCAEPAK_00376",228,248,252,617,0,727
"NBCAEPAK_00377",111,117,97,81,0,89
"NBCAEPAK_00378",75,62,83,18,0,29
"NBCAEPAK_00379",93,115,126,34,0,34
"NBCAEPAK_00380",60,73,76,12,0,12
"NBCAEPAK_00381",98,107,116,18,0,41
"NBCAEPAK_00382",843,886,898,252,0,227
"NBCAEPAK_00383",31,36,25,6,0,7
"NBCAEPAK_00384",118,150,146,30,0,42
"NBCAEPAK_00385",173,151,168,45,0,40
"NBCAEPAK_00386",126,104,91,52,0,71
"NBCAEPAK_00387",22,18,16,5,0,11
"NBCAEPAK_00388",15,22,15,9,0,6
"NBCAEPAK_00389",2,0,0,0,0,4
"NBCAEPAK_00390",4,0,1,0,0,4
"NBCAEPAK_00391",0,0,0,1,0,2
"NBCAEPAK_00392",10,6,5,0,0,3
"NBCAEPAK_00393",25,15,21,35,0,25
"NBCAEPAK_00394",287,498,319,491,0,597
"NBCAEPAK_00395",65,65,71,676,0,1618
"NBCAEPAK_00396",0,0,0,0,0,1
"NBCAEPAK_00397",145,150,151,61,0,117
"NBCAEPAK_00398",56,62,105,74,0,77
"NBCAEPAK_00399",177,195,276,184,0,375
"NBCAEPAK_00400",250,297,264,143,0,226
"NBCAEPAK_00401",2,2,4,2,0,6
"NBCAEPAK_00402",106,121,134,50,0,88
"NBCAEPAK_00403",23,40,38,27,0,69
"NBCAEPAK_00404",40,67,73,32,0,45
"NBCAEPAK_00405",55,58,71,40,0,40
"NBCAEPAK_00406",70,72,46,26,0,22
"NBCAEPAK_00407",2,1,8,0,0,0
"NBCAEPAK_00408",2,1,1,1,0,4
"NBCAEPAK_00409",3,9,5,7,0,8
"NBCAEPAK_00410",1,5,4,2,0,3
"NBCAEPAK_00411",86,70,101,20,0,39
"NBCAEPAK_00412",294,279,327,111,0,191
"NBCAEPAK_00413",24,13,19,30,0,55
"NBCAEPAK_00414",17,19,19,14,0,15
"NBCAEPAK_00415",30,13,28,21,0,15
"NBCAEPAK_00416",48,93,113,61,0,134
"NBCAEPAK_00417",16,4,2,2,0,2
"NBCAEPAK_00418",245,331,412,56,0,75
"NBCAEPAK_00419",83,90,120,26,0,39
"NBCAEPAK_00420",112,79,106,11,0,40
